# Loginserver Packets

0x2, SMVersionCheckResult
0xAB18, SMGuildResourceNotify
0xBFD3, SMGuildSearchResult
0x3A6, SMGuildSkillAuthChangeNotify
0x64F3, SMGuildSkillAuthNotify
0xA51C, SMGuildSkillInfoNotify
0xC09C, SMGuildSkillNotify
0x8891, SMGuildSkillResourceBuyResult
0x87D6, SMGuildSkillResult
0xB183, SMGuildSkillSlotChangeNotify
0xA001, SMGuildSkillSlotChangeResult
0x2E08, SMGuildStashExpandResult
0x4AE4, SMGuildStashHistoryQueryResult
0x8C60, SMGuildStashInitItem
0xE0D1, SMGuildStashItemDepositResult
0xE515, SMGuildStashItemMoveResult
0x7B7E, SMGuildStashItemWithdrawResult
0x9DE5, SMGuildStashMoneyDepositResult
0x21A8, SMGuildStashOpenResult
0x6B0B, SMHonorTitleAddNotify
0xE939, SMHonorTitleChangeNotify
0xB0B8, SMHonorTitleChangeResult
0xD234, SMHonorTitleRemoveNotify
0xAA29, SMHuntingChaseWayPointChangeNotify
0xA7AF, SMIdentityBurnOutNotify
0xB16C, SMIdentityChangeNotify
0x2368, SMIdentityGaugeChangeNotify
0x1803, SMIdentityMaxGaugeChangeNotify
0x7CDE, SMIdentityStackNotify
0xC1A8, SMIdentityStanceChangeNotify
0x9D40, SMIffActionNotify
0x1A1, SMImmuneNotify
0x5FBC, SMImmuneStatusNotify
0x60D6, SMInitAbility
0x7602, SMInitAbilityUnlock
0x932B, SMInitAchievementActive
0xC078, SMInitAchievementFinished
0xBF6B, SMInitAdvBook
0xD430, SMInitAdventureMatter
0x1677, SMInitBattleSlot
0xD604, SMInitCalendar
0x4AFC, SMInitCardDeck
0xE4E5, SMInitCard
0x5205, SMInitChaosDungeonRewardCount
0xE219, SMInitCharacterTendency
0xBCA7, SMInitCompletedQuest
0xC6BC, SMInitContentsBookmark
0x579C, SMInitContentsConfig
0x2FB2, SMInitContinent
0xB334, SMInitCoopQuest
0xE33B, SMInitCrew
0xBA9C, SMInitCumulativePoint
0x6C78, SMInitCumulativePointReward
0x266A, SMInitDungeonQuest
0x6054, SMInitDynamicIsland
0xA397, SMInitEnv
0x66F2, SMInitEquipPreset
0x2F2B, SMInitExcessCard
0x383, SMInitExcessItem
0x3C91, SMInitExcessMoney
0x1C1C, SMInitExpedition
0x9B76, SMInitExploration
0x5C5D, SMInitHonorTitle
0x9243, SMInitItemAddMaxCount
0x1C92, SMInitItemAssembly
0xDC2D, SMInitItemCooldown
0xB394, SMInitItem
0xD281, SMInitLifeFishPot
0x2749, SMInitLifeHuntingTrap
0xDB78, SMInitLifeSkill
0xBE28, SMInitLocal
0x8DCF, SMInitMail
0x6B71, SMInitMedalReward
0x2DEE, SMInitMusic
0x4050, SMInitNpcFriendshipAction
0x1180, SMInitNpcFriendship
0xF54, SMInitNpcFriendshipTalk
0x1EA8, SMInitPaidAction
0x6898, SMInitPaidBuff
0xE00E, SMInitPC
0x3429, SMInitPet
0x5C39, SMInitPropCollecting
0x9F9E, SMInitPvp
0x1131, SMInitQuest
0xBDA4, SMInitQuestPointReward
0x2197, SMInitRaid
0x4454, SMInitSail
0xE0B3, SMInitShipAvatar
0x9248, SMInitShip
0x71B8, SMInitSkill
0xC844, SMInitSkillPreset
0x4F50, SMInitSocialSkill
0x3887, SMInitSquareHole
0x9040, SMInitTownActiveBuildingMinData
0xD58A, SMInitTownActiveMissionMinData
0xC1AE, SMInitTownActiveResearchMinData
0x3D36, SMInitTownActiveShipMinData
0x849A, SMInitTownBuilding
0x7B7, SMInitTownDispatchActiveMission
0x378E, SMInitTownDispatchCrewCadidate
0xCB2, SMInitTownDispatchCrewCandidate
0xE0E7, SMInitTownDispatchCrew
0xA47, SMInitTownDispatchNpc
0xF5F, SMInitTownDispatchReadyMission
0x1325, SMInitTownDispatchShip
0xE3E, SMInitTownFund
0x833, SMInitTown
0x4814, SMInitTownInfo
0x465F, SMInitTownNpcDress
0xC7FB, SMInitTownNpc
0x6E55, SMInitTownOwnerPCList
0x4149, SMInitTownQuestCompleted
0xBB79, SMInitTownQuest
0x265B, SMInitTownRecruitedNpcNotify
0x3E37, SMInitTownResearch
0x66A9, SMInitTownSiteArea
0x3A7E, SMInitVehicle
0x5FDB, SMInitVoyageExploration
0x53FE, SMInitWarpPoint
0x51CF, SMInitWorldIslandData
0x980D, SMInitZonePiece
0x6A6B, SMInstanceZoneEnteredNotify
0x7369, SMInterfaceOpenNotify
0x6481, SMInvincibleNotify
0x8094, SMItemAddMaxCountRemoveNotify
0xC5C3, SMItemAddMaxCountUpdateNotify
0x14BF, SMItemAddResult
0xE534, SMItemAssemblyAddResult
0xDEF4, SMItemAssemblyChangeNotify
0xC799, SMItemAssemblyFinishResult
0x7012, SMItemAssemblyReceiveResult
0x7150, SMItemCarveResult
0xD3A8, SMItemCooldownNotify
0x5E68, SMItemCountResult
0x549F, SMItemDestroyResult
0xA3FF, SMItemDisassemblyRequestResult
0x43BE, SMItemDurabilityUpdate
0x74A6, SMItemEnchantSlotChangeResult
0x4EFC, SMItemEnchantSlotImbueResult
0xCD4A, SMItemEnchantSlotRemoveImbueResult
0x9A9, SMItemEnchantSlotUnlockResult
0x58D6, SMItemEnhanceFeedResult
0x3E32, SMItemEnhanceInheritResult
0x4855, SMItemEnhanceLevelUpNotify
0x8670, SMItemEnhanceLevelUpResult
0x7665, SMItemEnhanceOptionChangeResult
0x9918, SMItemEnhanceOptionConfirmResult
0x59E0, SMItemExchangeSecretMapResult
0x74FB, SMItemExpireCheckResult
0x70D, SMItemExtraStatChangeResult
0xD06, SMItemLockChangeResult
0x1FEE, SMItemMoveResult
0x3592, SMItemPolishBonusChangeResult
0x6B99, SMItemPolishBonusConfirmResult
0x8E1B, SMItemPolishRequestResult
0x6396, SMItemRemoveResult
0xE614, SMItemSplitResult
0x12EE, SMItemStorageSortResult
0x61C0, SMItemStoreResult
0x2C, SMItemTempGetResult
0x995, SMItemTempListNotify
0x8E4D, SMItemUpdate
0xCF3E, SMJumpingModeDungeonEnterResult
0x3FCF, SMJumpingModeEnterResult
0x79C5, SMJumpingModeRewardResult
0xD4F6, SMJumpingModeStepUpdate
0x608F, SMKickAccountNotify
0xE205, SMKismetStartNotify
0x3D21, SMLastPositionNotify
0x89E5, SMLevelChangeNotify
0x2E10, SMLifeDailyLimitChangeNotify
0xCACB, SMLifeExpAddedNotify
0xA933, SMLifeExpUpdate
0x6114, SMLifeFishingObserveNotify
0xA027, SMLifeFishPotAddNotify
0xD67E, SMLifeFishPotRemoveNotify
0x845C, SMLifeFishPotUpdateNotify
0x68E3, SMLifeHuntingTrapAddNotify
0x290B, SMLifeHuntingTrapRemoveNotify
0x84B1, SMLifeHuntingTrapUpdateNotify
0x3054, SMLifeLevelUpdate
0x1D51, SMLifeLumberingTreePositionNotify
0x5E39, SMLifeSkillPointUpdate
0x1605, SMLifeTechniqueTierUpdateNotify
0xBB1D, SMLoadCompleteResult
0xC0C7, SMLobbyReturnRequest
0x7E7E, SMLobbyReturnResult
0x4009, SMLoginChannelRequest
0xA518, SMLogoutResult
0xB6A3, SMLookDataNotify
0x83C6, SMMailDeleteResult
0xE59B, SMMailGetBodyResult
0x3EE8, SMMailGetExpressHeadResult
0x408, SMMailGetItemResult
0x4F12, SMMailGetMoneyResult
0xC8C5, SMMailGetPageResult
0xCFBF, SMMailLoadResult
0xC650, SMMailRewardArriveNotify
0xC536, SMMailSendResult
0x9137, SMMarketAddResult
0x636A, SMMarketBuyResult
0x3817, SMMarketCartResult
0x890B, SMMarketHistoryResult
0x5349, SMMarketLookupResult
0xDAE2, SMMarketPageResult
0xDB67, SMMarketRemoveResult
0xE94D, SMMarketSearchResult
0x991B, SMMatchCancelNotify
0xB1A7, SMMatchConfirmNotify
0xA37F, SMMatchEnlistNotify
0x1FAE, SMMatchReadyNotify
0x94BC, SMMedalRewardRequestNotify
0x98C4, SMMigrationExecute
0xA8AB, SMMigrationPrepare
0x698C, SMModAnnounce
0x6264, SMModBossRushInfo
0x7BEA, SMModBossRushStageNotify
0xC37B, SMModCreateError
0x6950, SMModCubeBuffExpireInfoNotify
0xDE00, SMModCubeBuffStackNotify
0x2AD7, SMModCubeInfo
0x53FB, SMModCubeRewardStackNotify
0x8DF1, SMModCubeStageNotify
0x6FA3, SMModCubeVoteNotify
0x74A3, SMModCubeVoteResultNotify
0x7785, SMModCubeVoteStartNotify
0x334C, SMModEnterNotify
0xE858, SMModLeaveNofity
0x9BA6, SMModNextStageNpcInfoNotify
0x23D4, SMModPhaseNotify
0x9077, SMModPickRewardBoxError
0x9597, SMModPlatinumAreaInfo
0xA571, SMModPlatinumCollectionNotify
0x7CF7, SMModPlatinumCountNotify
0xE7C7, SMModPropNotify
0x3712, SMModRandomBoxList
0x8F3A, SMModResult
0x4738, SMModRewardNotify
0x534F, SMModSignetCountNotify
0xC5CE, SMModStatisticNotify
0x8FEA, SMModTowerInfo
0x2F99, SMModTowerNotify
0x2035, SMModTowerStageNotify
0xA, SMModTowerStartError
0x5A96, SMModWaveNotify
0xC9EB, SMMoneyExchangeResult
0xE58A, SMMoneyStatusChangeResult
0x2DCC, SMMoneyUpdate
0xB85A, SMMoveError
0xAB62, SMMoveNotify
0xC838, SMMoveNotifyList
0xAE65, SMMoveStopNotify
0x52A0, SMMusicAddNotify
0xCF2B, SMMusicRemoveNotify
0x7E34, SMMusicReturnPositionNotify
0x5F6C, SMMusicUpdateNotify
0xA297, SMMvpNotify
0xE528, SMMvpSrcDataNotify
0xD3CA, SMNewBeacon
0xA590, SMNewDropBox
0x9A63, SMNewNpcExist
0x5EE7, SMNewNpc
0x50AD, SMNewNpcSummon
0x2703, SMNewPC
0x7B9A, SMNewProjectile
0x1253, SMNewPropExist
0x9A96, SMNewProp
0xC4B, SMNewShip
0x3056, SMNewTargetNotify
0xA591, SMNewTower
0xB47C, SMNewTransit
0xA91A, SMNewTrap
0x3D8E, SMNewVehicle
0xBF19, SMNewZone
0xA737, SMNpcActiveNotify
0xC736, SMNpcAIEventNotify
0x4226, SMNpcAttackCooldownNotify
0xE0D5, SMNpcBurrowStateNotify
0xBB7A, SMNpcDespawnActionChangeNotify
0xF47, SMNpcEvolutionNotify
0xA447, SMNpcFriendshipActionNotify
0xD9E9, SMNpcFriendshipActiveNotify
0xA273, SMNpcFriendshipPointNotify
0x26EC, SMNpcFriendshipRewardResult
0x1475, SMNpcFriendshipTalkUpdateNotify
0x3D39, SMNpcFuryInfoNotify
0x4503, SMNpcInteractionEndNotify
0x3D18, SMNpcInteractionStartNotify
0x9BC9, SMNpcInteractionStateNotify
0x950E, SMNpcLifeVesselActiveNotify
0xA529, SMNpcLifeVesselPointChangeNotify
0x91CB, SMNpcMoveMoodChangeNotify
0x6D4E, SMNpcPartHitNotify
0xC5ED, SMNpcPartStateChangeNotify
0xD2D7, SMNpcReturnPositionNotify
0xC8CF, SMNpcRotateNotify
0x1FFD, SMNpcStatusChangeNotify
0xC5DB, SMObjectHpRateNotify
0x7D14, SMObjectPositionQueryResult
0xA2CB, SMObserverModeActionResult
0x372E, SMObserverModeUserListNotify
0xA634, SMPaidActionLimitCheckResult
0x8F1B, SMPaidActionRequestResult
0xC57F, SMPaidBuffChangeNotify
0x4938, SMPaidPurchaseUnpackResult
0x39D4, SMPaidServiceCheckResult
0x7D01, SMPaidShopBuyResult
0xE89E, SMPaidShopCatalogBegin
0x701A, SMPaidShopCatalogBody
0x4B66, SMPaidShopCatalogEnd
0x3375, SMPaidShopCheckResult
0xC930, SMPaidShopFavoriteCheckResult
0x25B6, SMPaidShopGiftNotify
0x6865, SMPaidShopLimitList
0x878F, SMPaidTokenUpdateNotify
0xB5E1, SMParalyzationStateNotify
0x65DD, SMPartyAcceptResult
0x97F0, SMPartyApplyNotify
0x1F14, SMPartyAssembleNotify
0x32FC, SMPartyAuctionBidError
0xB43D, SMPartyAuctionBidNotify
0x2555, SMPartyAuctionFinishNotify
0x325E, SMPartyAuctionFinishNotifySimple
0xCF5B, SMPartyAuctionNotify
0x5E40, SMPartyBoardChangeResult
0x3BEB, SMPartyBoardCreateResult
0x873D, SMPartyBoardDestroyNotify
0x36, SMPartyBoardDestroyResult
0x56AB, SMPartyBoardInspectResult
0xE588, SMPartyBoardJoinNotify
0x867B, SMPartyBoardJoinResult
0x8EFC, SMPartyBoardLeaveNotify
0x73B0, SMPartyBoardLeaveResult
0xCBC5, SMPartyBoardRejectNotify
0xDB36, SMPartyBoardRejectResult
0xE480, SMPartyBoardSearchResult
0xAE67, SMPartyError
0xB1FB, SMPartyInfo
0xB521, SMPartyInviteNotify
0xDDC2, SMPartyInviteResult
0xC578, SMPartyJoinResult
0x9C19, SMPartyLeaveResult
0x6291, SMPartyLootTypeNotify
0x7FF7, SMPartyManageResult
0x89D8, SMPartyMemberUpdateNotify
0xD041, SMPartyRenewNotify
0x5B2A, SMPartyStatusEffectAddNotify
0x97ED, SMPartyStatusEffectRemoveNotify
0x9332, SMPartyTypeNotify
0x54FE, SMPartyVoteCastNotify
0xBABC, SMPartyVoteError
0x138C, SMPartyVoteFinishNotify
0xE7E6, SMPartyVoteNotify
0x3CEC, SMPartyYellowCardNotify
0xE0F0, SMPartyYellowCardResult
